File Name,Short Name,RA,DEC,Simbad ID,Gaia DR2 ID,Spectral Type,Candidate Type,Group,EW,EW St. Dev.,EW Med. Abs. Dev.,# of NaNs
2297812i.fits.gz,0124+5751,1:24:27.46,57:51:02.9,HD 236717,413056870408554368,K0IV/V,CM_NEW,ABDMG,nan,nan,nan,2500.0
2297813i.fits.gz,0137-0645,1:37:35.85,-6:45:40.8,V* EX Cet,2477815222028038272,G9Vk,CM_RECLASS,BPMG,85.66151349817144,1.3326855048546633,1.3349506231031976,0.0
2299145i.fits.gz,0147+3413,1:47:29.84,34:13:02.6,G 133-40,306056350151904896,nan,CM_NEW,ABDMG,14.62386531679692,5.760616553583941,4.68515277054598,110.0
2297814i.fits.gz,0222+5033,2:22:34.09,50:33:33.5,BD+49 646,451767857316577152,K0,CM_NEW,ABDMG,267.0720190203186,6.108339231304112,6.001372767750109,0.0
2299140i.fits.gz,0230+5532,2:30:50.90,55:32:51.0,HD 15407,457326850673147264,F5V,MISSED_BF,ABDMG,74.95009134603305,3.4194264678324613,3.3998835224956174,0.0
2299141i.fits.gz,0235+1514,2:35:54.37,15:14:53.0,TYC 1216-1411-1,81166811651514880,nan,CM_NEW,BPMG,nan,nan,nan,2500.0
2335550i.fits.gz,0318+2654,3:18:20.58,26:54:31.0,BD+26 537,118289519661876352,G5,CM_NEW,COL,5.022693998062064,1.1627301108431045,0.0,393.0
2335551i.fits.gz,0334+2331,3:34:58.71,23:31:47.0,HD 22146,67799189799869312,A5,CM_KNOWN,PLE,49.878039709516706,3.941728800045042,1.174133288837887,0.0
2335552i.fits.gz,0337+2142,3:37:56.12,21:42:32.5,HD 22510,64469490633933056,G0,CM_NEW,TAU,25.517046917191102,9.81591123502202,9.14205807821842,0.0
2335553i.fits.gz,0339+2511,3:39:51.20,25:11:40.0,V* V1225 Tau,68593346433465856,A5,CM_KNOWN,PLE,21.754345780821087,5.091800807137376,0.0,273.0
2335554i.fits.gz,0341+2329,3:41:23.02,23:29:11.4,HD 22887,65120470237460480,F0V,CM_NOW_BF,PLE,27.469358742526364,10.929413817007367,9.627671611387482,170.0
2299401i.fits.gz,0350+1304,3:50:24.97,13:04:13.7,TYC 664-764-1,37150921652142336,G7IV,CM_KNOWN,TAU,231.32150977474652,4.74072925903226,4.589038952428761,0.0
2363239i.fits.gz,0352+2548,3:52:41.34,25:48:14.2,HD 283044,67351757289092224,K7,MISSED_BF,HYA,nan,nan,nan,2500.0
2299402i.fits.gz,0356+2213,3:56:03.92,22:13:35.4,HD 24655,65308418007467648,F8,CM_KNOWN,PLE,63.812474731589255,5.054037275050775,4.991136133291293,0.0
2373110i.fits.gz,0405+1740,4:05:19.71,17:40:19.3,HD 285370,46820748458859392,G0,CM_NEW,TAU,nan,nan,nan,2500.0
2373109i.fits.gz,0405+2008,4:05:14.36,20:08:21.0,HD 284154,51884824140205824,G0,CM_RECLASS,TAU,211.1899353061295,2.569179952626478,2.5353081623652507,0.0
2373111i.fits.gz,0405+2112,4:05:47.18,21:12:22.3,HD 25737,52288825942388352,F5,CM_NEW,TAU,35.616416569415925,4.153010825440582,0.0,5.0
2373113i.fits.gz,0407+2926,4:07:05.15,29:26:25.4,HD 281602,164350913610051328,A5,CM_NEW,TAU,17.526550369737645,7.080552109743876,6.902609678036847,15.0
2373115i.fits.gz,0408+2305,4:08:53.53,23:05:54.2,HD 26128A,53693108451368832,A8IV,CM_NEW,TAU,nan,7.988649155170317,4.000301447831699,2494.0
2373116i.fits.gz,0408+2305,4:08:53.53,23:05:54.2,HD 26128A,53693108451368832,A8IV,CM_NEW,TAU,nan,1.897639736024496,1.0217784232427085,2238.0
2373114i.fits.gz,0408+2346,4:08:36.49,23:46:05.5,HD 284155,53942250914697472,G5,CM_KNOWN,HYA,7.882970718999391,1.782153493443844,0.7397301638208208,257.0
2373117i.fits.gz,0410+2521,4:10:35.87,25:21:44.3,HD 283420,162271049925336320,F8,MISSED_BF,TAU,103.09325655786213,5.308524908964891,5.263443125424873,0.0
2363240i.fits.gz,0412-1307,4:12:45.44,-13:07:59.6,BD-13 835,3189116193416580096,nan,CM_NEW,ABDMG,nan,nan,nan,2500.0
2373118i.fits.gz,0412+2104,4:12:05.73,21:04:10.4,HD 284208,52377989464531072,G0,CM_NEW,TAU,137.41241821961083,10.562598760825724,10.439185021723516,0.0
2299171i.fits.gz,0418+1750,4:18:38.60,17:50:29.2,2MASS J04183859+1750297,47401874715052800,G0,CM_KNOWN,TAU,122.75860875102154,9.88028939383451,9.883591699740336,0.0
2299172i.fits.gz,0421+0316,4:21:04.42,3:16:08.1,TYC 78-257-1,3283285795218796800,nan,CM_KNOWN,HYA,10.74297255294136,4.647251629126675,4.389305262464133,319.0
2373119i.fits.gz,0421+3249,4:21:11.27,32:49:47.7,HD 281973,172627281227160192,G0,CM_NEW,TAU,55.761468848193765,3.751801545319488,3.759071279480265,0.0
2373120i.fits.gz,0424+2003,4:24:57.69,20:03:23.5,HD 27900,48327663505944704,F5,CM_NEW,TAU,34.33042430694489,7.737222075716029,7.909191665624514,0.0
2373122i.fits.gz,0427+1415,4:27:25.56,14:15:37.9,HD 285828,3310876802567157248,K2,CM_NOW_BF,HYA,6.18091939531499,2.228405537957535,0.5434487538272874,407.0
2373121i.fits.gz,0427+1812,4:27:04.87,18:12:26.8,HD 28150,3314449974839279488,A1,MISSED_BF,TAU,nan,nan,nan,2500.0
2373123i.fits.gz,0427+1830,4:27:59.20,18:29:59.7,HD 285766,3314484094059409408,K2,CM_NOW_BF,HYA,nan,nan,nan,2500.0
2373124i.fits.gz,0434+2306,4:34:28.28,23:06:32.7,HD 28944,145982437994170752,F5,CM_NEW,TAU,94.38542430359036,8.28039913219361,8.420337736517943,0.0
2373125i.fits.gz,0443+1704,4:43:15.92,17:04:07.5,HD 29896,3406216383523959936,K3,CM_NOW_BF,HYA,nan,nan,nan,2500.0
2373126i.fits.gz,0447+2052,4:47:09.15,20:52:54.5,HD 284785,3412605297699792512,K4:V,CM_KNOWN,HYA,nan,nan,nan,2500.0
2373127i.fits.gz,0506-1102,5:06:30.12,-11:02:36.8,HD 32965,3181961503752885248,K3V,CM_NEW,BPMG,nan,nan,nan,2500.0
2335596i.fits.gz,0512+4119,5:12:23.13,41:19:34.9,HD 277665,201121430002241920,K0,CM_NEW,COL,131.1321054537113,5.4222311660626135,5.42246641053458,0.0
2335604i.fits.gz,0516+1408,5:16:30.25,14:08:48.4,HD 242207,3388888045911206528,F6V,CM_NEW,TAU,5.530822667848794,3.2239451682977642,1.6571931503606194,412.0
2373128i.fits.gz,0520-0547,5:20:40.43,-5:47:12.3,BD-05 1229,3209947441933983744,G5,CM_NEW,BPMG,8.3776934517595,1.5533909138295137,1.0631693364950514,40.0
2306372i.fits.gz,0520+2406,5:20:35.03,24:06:31.6,HD 34718,3417213900688568704,F5,CM_NEW,_118TAU,62.718870988486984,3.8045755080487065,3.7076867405322074,0.0
2335599i.fits.gz,0531+0539,5:31:15.71,5:39:45.2,HD 36338,3236948217695620352,F5,CM_KNOWN,THOR,103.15313562362638,4.074123203747885,4.175149805658365,0.0
2335600i.fits.gz,0534+1120,5:34:02.08,11:20:27.4,HD 244945,3340589901718176768,G0,CM_NEW,THOR,33.544217340781174,2.487045669087947,0.0,0.0
2373130i.fits.gz,0551+7351,5:51:49.77,73:51:03.5,BD+73 300,499535899464545408,K4V,CM_NEW,ABDMG,nan,nan,nan,2500.0
2335601i.fits.gz,0639+4852,6:39:30.41,48:52:01.9,TYC 3385-23-1,967006943188392192,nan,CM_NEW,ABDMG,nan,nan,nan,2500.0
2335603i.fits.gz,0750+1135,7:50:20.29,11:35:56.9,BD+11 1690,3151543686369910656,G5,CM_NEW,ABDMG,nan,nan,nan,2500.0
2299128i.fits.gz,1936+3023,19:36:14.48,30:23:44.0,TYC 2655-3429-1,2032687319771968512,nan,CM_NEW,ABDMG,nan,nan,nan,2500.0
2299142i.fits.gz,2206+6345,22:06:36.84,63:45:17.4,TYC 4271-37-2,2206035326544214400,K5Ve,CM_NEW,COL,nan,nan,nan,2500.0
2299143i.fits.gz,2206+6345,22:06:36.84,63:45:17.4,TYC 4271-37-2,2206035326544214400,K5Ve,CM_NEW,COL,nan,nan,nan,2500.0
2299136i.fits.gz,2330+3142,23:30:14.20,31:42:16.6,HD 221239,2870739343031622144,K2.5V,NEW_BF,ABDMG,nan,nan,nan,2500.0
